分割数を入力してください--->20
x=0.050000       y=1.050000
x=0.100000       y=1.105000
x=0.150000       y=1.165250
x=0.200000       y=1.231012
x=0.250000       y=1.302563
x=0.300000       y=1.380191
x=0.350000       y=1.464201
x=0.400000       y=1.554911
x=0.450000       y=1.652656
x=0.500000       y=1.757789
x=0.550000       y=1.870679
x=0.600000       y=1.991713
x=0.650000       y=2.121298
x=0.700000       y=2.259863
x=0.750000       y=2.407856
x=0.800000       y=2.565749
x=0.850000       y=2.734037
x=0.900000       y=2.913238
x=0.950000       y=3.103900
x=1.000000       y=3.306595
